site;dominio;ranking;readability
Google;javat;Top1;0.8515
Bing;javat;Top4;0.8515
Bing;stack;Top2;0.7128
Bing;tuto;Top5;0.7156
Yahoo;stack;Top2;0.7128
Yahoo;javat;Top4;0.8515
Bing;tuto;Top5;0.3875
Yahoo;tuto;Top5;0.3875
Google;geeks;Top1;0.8982
Bing;geeks;Top1;0.8982
Yahoo;geeks;Top1;0.8982
Yahoo;stack;Top3;0.3324
Bing;stack;Top5;0.5083
Google;stack;Top1;0.3635
Bing;stack;Top1;0.3635
Yahoo;stack;Top1;0.3635
Yahoo;stack;Top5;0.6176
Bing;stack;Top3;0.1682
Yahoo;stack;Top1;0.4226
Bing;stack;Top5;0.6176
Bing;stack;Top1;0.4226
Yahoo;stack;Top3;0.1682
Google;stack;Top1;0.9279
Google;stack;Top2;0.7439
Yahoo;stack;Top1;0.4226
Bing;stack;Top1;0.4226
Yahoo;stack;Top3;0.7869
Yahoo;stack;Top5;0.6728
Google;stack;Top2;0.6916
Google;stack;Top1;0.8736
Bing;stack;Top3;0.4171
Bing;stack;Top2;0.7869
Yahoo;stack;Top2;0.4171
Bing;tuto;Top2;0.4489
Google;tuto;Top4;0.8703
Google;stack;Top5;0.7468
Google;javat;Top1;0.9254
Bing;geeks;Top5;0.9380
Yahoo;geeks;Top4;0.7757
Yahoo;tuto;Top1;0.4489
Yahoo;geeks;Top5;0.9380
Google;geeks;Top2;0.7757
Bing;geeks;Top4;0.7757
Google;stack;Top3;0.7955
Google;geeks;Top4;0.8936
Bing;tuto;Top5;0.5712
Bing;stack;Top4;0.9499
Yahoo;stack;Top3;0.9499
Bing;tuto;Top1;0.5712
Bing;stack;Top4;0.9499
Google;stack;Top4;0.7955
Yahoo;tuto;Top2;0.5712
Yahoo;stack;Top3;0.9499
Google;geeks;Top1;0.8936
Yahoo;tuto;Top4;0.3165
Google;stack;Top1;0.7651
Bing;tuto;Top4;0.3165
Bing;stack;Top5;0.7765
Yahoo;stack;Top5;0.7765
Yahoo;stack;Top1;0.8064
Google;stack;Top2;0.9394
Yahoo;stack;Top2;0.9394
Bing;stack;Top2;0.9394
Google;stack;Top1;0.7880
Yahoo;stack;Top3;0.9450
Yahoo;javat;Top4;0.9381
Bing;stack;Top5;0.9247
Bing;javat;Top3;0.9381
Bing;stack;Top2;0.7141
Yahoo;tuto;Top4;0.9323
Google;geeks;Top1;0.9058
Google;stack;Top2;0.9741
Bing;geeks;Top2;0.9058
Bing;tuto;Top4;0.9323
Yahoo;geeks;Top1;0.9058
Yahoo;stack;Top2;0.7927
Yahoo;code;Top1;0.8344
Bing;stack;Top2;0.8315
Bing;code;Top1;0.8344
Google;stack;Top1;0.4857
Yahoo;stack;Top5;0.8339
Google;geeks;Top4;0.8675
Yahoo;code;Top3;0.0571
Bing;code;Top4;0.8719
Yahoo;code;Top4;0.8719
Bing;stack;Top2;0.8780
Bing;geeks;Top5;0.6330
Google;code;Top4;0.0568
Google;stack;Top3;0.8220
Yahoo;stack;Top2;0.8780
Bing;code;Top3;0.0571
Yahoo;geeks;Top5;0.6330
Google;code;Top5;0.0568
Bing;stack;Top5;0.8548
Yahoo;stack;Top3;0.8548
Bing;stack;Top3;0.7899
Yahoo;stack;Top1;0.6451
Bing;stack;Top1;0.6451
Google;stack;Top1;0.9114
Google;geeks;Top1;0.9549
Bing;javat;Top2;0.6930
Bing;code;Top4;0.8386
Google;stack;Top4;0.4906
Google;javat;Top2;0.6930
Yahoo;code;Top4;0.8386
Yahoo;javat;Top2;0.6930
Bing;geeks;Top1;0.9549
Yahoo;geeks;Top1;0.9549
Bing;javat;Top3;0.8972
Yahoo;stack;Top1;0.6605
Bing;stack;Top2;0.6605
Yahoo;javat;Top3;0.8972
Google;stack;Top1;0.9457
Bing;javat;Top5;0.8379
Yahoo;geeks;Top1;0.7131
Bing;geeks;Top1;0.7131
Google;javat;Top5;0.8379
Google;geeks;Top4;0.7131
Google;stack;Top2;0.7955
Bing;stack;Top2;0.9499
Yahoo;stack;Top2;0.9499
Google;geeks;Top3;0.8936
Google;javat;Top1;0.8769
Yahoo;geeks;Top5;0.8351
Bing;geeks;Top5;0.8351
Google;stack;Top5;0.9032
Bing;tuto;Top1;0.5535
Google;geeks;Top4;0.8351
Yahoo;tuto;Top2;0.5535
Google;code;Top3;0.9246
Yahoo;stack;Top2;0.5835
Google;stack;Top2;0.7341
Bing;stack;Top2;0.5835
Google;stack;Top1;0.5835
Google;code;Top4;0.8474
Google;stack;Top1;0.9757
Google;stack;Top2;0.2227
Google;stack;Top5;0.8751
Yahoo;geeks;Top1;0.7102
Yahoo;javat;Top3;0.9770
Bing;geeks;Top1;0.7102
Yahoo;stack;Top4;0.5914
Bing;stack;Top5;0.5914
Bing;javat;Top3;0.9770
Yahoo;geeks;Top5;0.7749
Google;geeks;Top2;0.7102
Bing;stack;Top4;0.8934
Google;geeks;Top5;0.8893
Google;stack;Top3;0.8578
Yahoo;geeks;Top5;0.9407
Yahoo;geeks;Top1;0.8893
Google;javat;Top1;0.9765
Yahoo;javat;Top2;0.9765
Bing;geeks;Top1;0.8893
